Step,LJ_Potential,Kinetic_Energy,Total_Energy
646,-0.053156,0.018270,-0.034886
647,-0.054097,0.019213,-0.034884
648,-0.055539,0.020657,-0.034882
649,-0.057516,0.022635,-0.034882
650,-0.060049,0.025164,-0.034885
651,-0.063106,0.028210,-0.034896
652,-0.066540,0.031613,-0.034927
653,-0.069944,0.034950,-0.034994
654,-0.072428,0.037306,-0.035122
655,-0.072345,0.037027,-0.035318
656,-0.067428,0.031952,-0.035476
657,-0.056673,0.021401,-0.035272
658,-0.044692,0.010099,-0.034593
659,-0.041655,0.007285,-0.034370
660,-0.050580,0.015569,-0.035011
661,-0.062445,0.026986,-0.035459
662,-0.069467,0.034059,-0.035408
663,-0.070800,0.035596,-0.035204
664,-0.068561,0.033515,-0.035045
665,-0.064737,0.029781,-0.034956
666,-0.060516,0.025603,-0.034913
667,-0.056476,0.021581,-0.034895
668,-0.052853,0.017963,-0.034890
669,-0.049714,0.014825,-0.034890
670,-0.047052,0.012160,-0.034892
671,-0.044829,0.009935,-0.034894
672,-0.043003,0.008107,-0.034897
673,-0.041533,0.006635,-0.034899
674,-0.040385,0.005485,-0.034901
675,-0.039532,0.004630,-0.034902
676,-0.038954,0.004051,-0.034902
677,-0.038640,0.003737,-0.034903
678,-0.038586,0.003684,-0.034903
679,-0.038795,0.003893,-0.034902
680,-0.039277,0.004376,-0.034901
681,-0.040049,0.005150,-0.034899
682,-0.041137,0.006240,-0.034897
683,-0.042574,0.007680,-0.034895
684,-0.044402,0.009510,-0.034892
685,-0.046665,0.011776,-0.034889
686,-0.049410,0.014522,-0.034888
687,-0.052663,0.017773,-0.034890
688,-0.056402,0.021501,-0.034901
689,-0.060484,0.025552,-0.034931
690,-0.064501,0.029502,-0.034999
691,-0.067545,0.032414,-0.035131
692,-0.067911,0.032575,-0.035336
693,-0.063214,0.027710,-0.035505
694,-0.052354,0.017061,-0.035293
695,-0.040170,0.005597,-0.034573
696,-0.037406,0.003054,-0.034352
697,-0.047038,0.011999,-0.035039
698,-0.059397,0.023906,-0.035491
699,-0.066525,0.031104,-0.035421
700,-0.067781,0.032575,-0.035206
701,-0.065443,0.030400,-0.035043
702,-0.061559,0.026606,-0.034953
703,-0.057324,0.022413,-0.034911
704,-0.053307,0.018413,-0.034894
705,-0.049736,0.014848,-0.034889
706,-0.046672,0.011783,-0.034889
707,-0.044101,0.009210,-0.034891
708,-0.041984,0.007090,-0.034894
709,-0.040276,0.005380,-0.034896
710,-0.038935,0.004037,-0.034899
711,-0.037927,0.003027,-0.034900
712,-0.037224,0.002323,-0.034901
713,-0.036808,0.001906,-0.034902
714,-0.036669,0.001767,-0.034902
715,-0.036804,0.001903,-0.034902
716,-0.037218,0.002317,-0.034901
717,-0.037924,0.003024,-0.034900
718,-0.038942,0.004044,-0.034898
719,-0.040302,0.005407,-0.034896
720,-0.042041,0.007148,-0.034893
721,-0.044203,0.009312,-0.034890
722,-0.046833,0.011944,-0.034888
723,-0.049968,0.015079,-0.034889
724,-0.053610,0.018714,-0.034896
725,-0.057673,0.022756,-0.034917
726,-0.061871,0.026903,-0.034968
727,-0.065516,0.030443,-0.035073
728,-0.067221,0.031966,-0.035255
